Rank	Title	minimizedAffinity	molecular_weight
1	131281107_active	-10.7652	390.312
2	131277055_active	-10.6115	414.355
3	92480568_unactive	-10.5479	363.307
4	131279065_active	-10.3847	402.323
5	66088382_unactive	-10.382	437.162
6	160680067_active	-10.3514	343.269
7	131285069_active	-10.3395	339.289
8	131281105_active	-10.3133	348.295
9	131287121_active	-10.3078	363.31
10	03416612_unactive	-10.2928	360.238
11	104247556_active	-10.2174	351.299
12	160680037_active	-10.1053	343.274
13	160669360_active	-10.0691	355.285
14	131279067_active	-10.0642	426.366
15	160696232_active	-10.047	338.277
16	131273034_active	-10.0126	378.302
17	131279066_active	-9.97786	386.324
18	131281108_active	-9.94142	438.377
19	160701581_active	-9.9296	361.293
20	57271411_unactive	-9.92765	344.259
21	131275011_active	-9.92601	362.302
22	131285070_active	-9.92433	374.313
23	69949173_unactive	-9.91612	393.29
24	160696256_active	-9.89758	326.267
25	103694299_active	-9.89489	312.263
26	104247555_active	-9.88549	300.253
27	160706871_active	-9.88105	340.273
28	160700050_active	-9.85742	315.264
29	160680039_active	-9.82333	385.311
30	160685394_active	-9.7893	382.31
31	11125709_unactive	-9.76939	353.266
32	160680063_active	-9.76909	326.267
33	160669361_active	-9.73645	327.275
34	06535393_unactive	-9.72283	366.238
35	160680064_active	-9.72241	326.267
36	65255333_unactive	-9.71836	339.262
37	160674689_active	-9.70232	296.239
38	160674690_active	-9.70077	326.267
39	123092525_active	-9.6885	288.242
40	160685393_active	-9.68292	303.253
41	160680066_active	-9.67403	352.284
42	160701580_active	-9.64828	319.253
43	160685363_active	-9.63228	303.253
44	73584642_unactive	-9.60704	350.211
45	131273125_active	-9.60314	276.231
46	06394508_unactive	-9.59995	377.242
47	160680065_active	-9.57516	330.255
48	39894991_unactive	-9.5677	393.806
49	160701582_active	-9.513	303.253
50	88421265_unactive	-9.51231	308.225
51	160701606_active	-9.50822	315.264
52	160701605_active	-9.49838	314.256
53	123085985_active	-9.49041	290.238
54	65534036_unactive	-9.48094	360.258
55	72108775_unactive	-9.46149	326.24
56	160685392_active	-9.44955	315.264
57	104247554_active	-9.42523	300.253
58	160690835_active	-9.34707	336.26
59	77952398_unactive	-9.3434	319.296
60	38961181_unactive	-9.33207	306.227
61	160669358_active	-9.30776	335.275
62	131287120_active	-9.27625	276.231
63	131285170_active	-9.23789	264.221
64	70872855_unactive	-9.23789	435.323
65	160669359_active	-9.21366	370.299
66	71318592_unactive	-9.20397	316.222
67	160674688_active	-9.17284	370.299
68	160680038_active	-9.16382	367.296
69	160674707_active	-9.14894	288.239
70	131285068_active	-9.14502	320.264
71	30937088_unactive	-9.14429	373.32
72	72002643_unactive	-9.143	361.718
73	131277127_active	-9.13686	344.328
74	67842136_unactive	-9.13346	332.248
75	07827020_unactive	-9.13164	307.219
76	74489417_unactive	-9.13008	348.248
77	131281204_active	-9.09006	312.263
78	72370511_unactive	-9.07765	405.322
79	103191130_active	-9.06985	284.205
80	160690836_active	-9.06258	344.282
81	131273127_active	-9.04575	328.263
82	68485562_unactive	-9.03525	357.278
83	103430452_active	-9.00776	312.239
84	78075761_unactive	-8.97198	289.227
85	73417900_unactive	-8.9581	371.715
86	42485868_unactive	-8.94733	324.221
87	67756512_unactive	-8.94526	330.254
88	03553238_unactive	-8.94321	308.195
89	131279064_active	-8.93857	300.253
90	76070686_unactive	-8.93674	330.226
91	69323649_unactive	-8.93317	378.113
92	67321987_unactive	-8.91584	311.274
93	131279154_active	-8.90926	311.105
94	24016999_unactive	-8.89931	413.341
95	76536951_unactive	-8.89669	290.203
96	71281140_unactive	-8.89655	362.125
97	131273126_active	-8.8672	252.21
98	131277126_active	-8.86705	292.231
99	160706853_active	-8.85827	308.25
100	160669382_active	-8.85137	276.228
101	131283181_active	-8.84841	284.209
102	131279155_active	-8.84792	280.22
103	72060510_unactive	-8.83271	354.254
104	82698277_unactive	-8.79584	284.272
105	07166171_unactive	-8.77841	364.356
106	75528024_unactive	-8.76684	310.218
107	72441611_unactive	-8.7573	385.721
108	131287122_active	-8.74343	275.652
109	03359001_unactive	-8.72033	383.32
110	69659208_unactive	-8.71835	326.268
111	160694688_active	-8.70317	229.193
112	131272070_active	-8.67978	271.208
113	23792296_unactive	-8.67641	328.284
114	131285171_active	-8.67336	288.242
115	10463102_unactive	-8.65304	393.331
116	123087593_active	-8.61873	296.219
117	131275097_active	-8.6009	252.21
118	69367382_unactive	-8.58651	312.215
119	78793022_unactive	-8.5773	321.189
120	48472872_unactive	-8.56209	373.726
121	30981233_unactive	-8.55886	306.276
122	73612067_unactive	-8.55834	347.329
123	73811652_unactive	-8.55563	306.247
